file,environment,trial_type,n_trials,channel,beta_power,frontal_asymmetry,aperiodic_exponent,aperiodic_offset,central_freq
31730_processed.fif,prelong,stay,29,T3,1.280493675808911e-13,0.9179634213168745,1.08986311951689,-12.162076665529389,16.868206347415864
31730_processed.fif,prelong,stay,29,O1,1.8476855640734426e-13,0.9179634213168745,1.503372839281079,-11.694737738534549,17.736136687799128
31730_processed.fif,prelong,stay,29,T5,1.3151091164053032e-13,0.9179634213168745,1.281825659559954,-12.008386166358836,16.54169265864966
31730_processed.fif,prelong,stay,29,O2,1.5132990617231853e-13,0.9179634213168745,1.4979613062927972,-11.768943357905021,20.800705495333105
31730_processed.fif,prelong,stay,29,F8,1.5578456608275905e-13,0.9179634213168745,1.3391335055620721,-11.8722532629977,20.169209478365392
31730_processed.fif,prelong,stay,29,T6,1.0998408680259878e-13,0.9179634213168745,1.5501453573912811,-11.554729359574143,24.53444269403565
31730_processed.fif,prelong,stay,29,FZ,2.1506260344339365e-12,0.9179634213168745,1.2842813250591127,-11.825095381380633,23.128328736432643
31730_processed.fif,prelong,stay,29,FP2,2.287137040326758e-13,0.9179634213168745,0.9604787245349915,-12.039237194110234,29.502995730421198
31730_processed.fif,prelong,stay,29,F7,1.423732987215502e-13,0.9179634213168745,1.2547366579002994,-11.797833843834088,26.227867790111464
31730_processed.fif,prelong,stay,29,FP1,2.084523001345368e-13,0.9179634213168745,1.0882962945401558,-11.855447429653202,29.6511543506945
31730_processed.fif,prelong,stay,29,CZ,6.057843734468664e-14,0.9179634213168745,1.6652276609265795,-11.773322085502892,24.441320388211953
31730_processed.fif,prelong,stay,29,F3,1.208262663767726e-12,0.9179634213168745,1.3967367545903664,-10.983599834909871,23.87755432731566
31730_processed.fif,prelong,stay,29,F4,2.31927352357825e-13,0.9179634213168745,1.665947869850519,-11.215376702180972,22.812493693553822
31730_processed.fif,prelong,stay,29,FCz,7.079144937879718e-14,0.9179634213168745,1.2712501724014846,-12.180065179646906,22.49371598616944
31730_processed.fif,prelong,leave,1,T4,9.640104520259157e-14,0.4985795189561806,1.0745005267730852,-12.212351235903322,10.65319785708502
31730_processed.fif,prelong,leave,1,A2,3.375947402490841e-14,0.4985795189561806,1.7817036653292693,-11.827843040645956,48.03683582776695
31730_processed.fif,prelong,leave,1,C3,6.032212604947073e-14,0.4985795189561806,1.4935729853442585,-11.938885796002591,7.524943626643986
31730_processed.fif,prelong,leave,1,C4,6.851098732977391e-14,0.4985795189561806,0.1461508628665541,-13.681001581422246,11.11777731854558
31730_processed.fif,prelong,leave,1,A1,2.458041194714816e-14,0.4985795189561806,1.585009050147342,-12.324420221241684,28.848080103889906
31730_processed.fif,prelong,leave,1,T3,7.424977694216007e-14,0.4985795189561806,1.0234119036137217,-12.624708812336157,45.407967193650784
31730_processed.fif,prelong,leave,1,O1,1.198682983974392e-13,0.4985795189561806,1.4327445586641276,-12.11339197540461,14.909316167205565
31730_processed.fif,prelong,leave,1,T5,7.60525372417778e-14,0.4985795189561806,0.7733530783459488,-12.777929709057041,13.106201050410535
31730_processed.fif,prelong,leave,1,O2,1.190746492319101e-13,0.4985795189561806,1.4750660430282545,-11.998625598053822,13.27131183870865
31730_processed.fif,prelong,leave,1,F8,1.1369020261520068e-13,0.4985795189561806,1.2342187223762402,-12.233244017194068,31.70590060472976
31730_processed.fif,prelong,leave,1,T6,1.1340194668984787e-13,0.4985795189561806,2.172499855416395,-10.559950415281254,23.168193040853645
31730_processed.fif,prelong,leave,1,FZ,2.4167162248427946e-13,0.4985795189561806,1.1599278113036557,-12.14731263728968,12.850294021514348
31730_processed.fif,prelong,leave,1,FP2,2.6945471482525986e-13,0.4985795189561806,0.8852973530490239,-12.116916494993305,43.90947709724699
31730_processed.fif,prelong,leave,1,F7,7.64833070137418e-14,0.4985795189561806,1.5920616454004932,-11.656924625091936,35.14347835251314
31730_processed.fif,prelong,leave,1,FP1,1.775195766464446e-13,0.4985795189561806,0.2952939101718868,-13.076834334717214,5.02141523516516
31730_processed.fif,prelong,leave,1,CZ,5.087072641215134e-14,0.4985795189561806,1.4056132323045543,-12.098682053982179,45.3506479483172
31730_processed.fif,prelong,leave,1,F3,6.65129935186334e-13,0.4985795189561806,0.6345264491131488,-12.281585549602797,26.62984626428347
31730_processed.fif,prelong,leave,1,F4,1.751297731859692e-13,0.4985795189561806,2.143605148687632,-10.712038191531404,32.47715860501118
31730_processed.fif,prelong,leave,1,FCz,6.680812050776148e-14,0.4985795189561806,1.3556900074852392,-12.175157089652558,37.79097263794459
31730_processed.fif,prelong,leave,1,T4,8.905404209079012e-14,1.0265343529081896,0.9001127321606641,-12.411743093810081,16.064273094972737
31730_processed.fif,prelong,leave,1,A2,2.881534428661404e-14,1.0265343529081896,1.430404720013687,-12.349980668198253,3.456172907958895
31730_processed.fif,prelong,leave,1,C3,3.883228676976587e-14,1.0265343529081896,0.3500662847441268,-13.514290968011002,3.1046968049587425
31730_processed.fif,prelong,leave,1,C4,7.942203528762368e-14,1.0265343529081896,1.6849368370091282,-11.514420230983491,38.04292983979002
